Name,tSIERA,tP/IP
Jacob deGrom,2.777444,15.517795
Chris Sale,2.5012445,15.722403
Blake Snell,3.078926,16.637619
Max Scherzer,2.7911208,15.898551
Wade Miley,3.844013,16.8389
Trevor Bauer,3.0409758,16.47612
Aaron Nola,3.4122834,15.978671
Clay Buchholz,4.0761724,15.556979
Dereck Rodriguez,4.333543,15.575634
Clayton Kershaw,3.509131,15.117855
Walker Buehler,3.556127,15.768132
Justin Verlander,2.7695384,15.767434
Carlos Rodon,4.317651,16.894138
Mike Foltynewicz,3.6215963,17.024803
Gerrit Cole,3.0474157,16.782335
Corey Kluber,3.646936,14.762469
Miles Mikolas,3.4899473,14.928573
Ross Stripling,3.6335518,14.789902
Kyle Freeland,3.9643779,16.736328
Jack Flaherty,3.0543644,16.576101
Edwin Jackson,4.8365192,16.717922
Madison Bumgarner,4.1913266,16.880005
Charlie Morton,3.0950382,16.619505
Zack Greinke,3.500235,15.523715
Mike Montgomery,3.9229195,15.603332
Shohei Ohtani,2.7633753,16.703665
Trevor Cahill,3.372592,15.4813385
Patrick Corbin,2.602208,15.550208
Michael Wacha,4.2392974,16.92997
Mike Fiers,4.2321596,15.512907
Johnny Cueto,4.373975,15.835745
Anibal Sanchez,4.0697136,16.370214
Jake Arrieta,4.0438685,15.92296
Mike Clevinger,3.6444745,16.531923
Luis Severino,3.4858952,15.891588
Joe Musgrove,3.5714998,15.260976
CC Sabathia,3.7644389,16.15815
Noah Syndergaard,3.0545552,14.732125
Carlos Martinez,3.7607884,17.077204
Jaime Barria,3.8657355,15.715309
Eduardo Rodriguez,3.8279972,16.35661
Trevor Williams,4.4669766,16.53112
Brett Anderson,4.1344795,14.922977
Jeremy Hellickson,4.071219,15.472935
Carlos Carrasco,3.2868123,15.067051
Jameson Taillon,3.3108664,15.635679
Jhoulys Chacin,4.010009,16.540775
Dallas Keuchel,3.7900114,15.469549
Alex Wood,4.0231504,15.7548685
Zack Wheeler,3.5362694,16.30447
Kyle Gibson,3.6459317,16.767326
Brian Johnson,4.2294035,16.630096
Jon Lester,4.424106,16.80568
Garrett Richards,3.4567635,16.75707
James Paxton,2.980511,16.052792
Jose Berrios,3.5409138,16.211967
Brad Keller,3.8184938,16.752827
David Price,4.1375937,16.31845
Sean Manaea,4.0152063,15.078231
Junior Guerra,3.424034,16.847404
Sean Newcomb,3.9341311,17.437124
Frankie Montas,4.060941,16.12535
Rich Hill,3.934906,16.970165
Tyler Skaggs,3.4384372,16.08528
Joey Lucchesi,3.8111777,16.441492
Nathan Eovaldi,3.9705873,14.858551
Derek Holland,3.9827821,16.927332
J.A. Happ,3.672025,16.452587
Kenta Maeda,3.4723015,16.590702
Mike Leake,4.3921127,15.171624
Masahiro Tanaka,3.4915032,15.581228
Chase Anderson,4.258294,17.2039
Lance McCullers Jr.,3.2409358,16.2902
Zach Eflin,3.9716394,15.814783
Tanner Roark,4.141335,16.382578
Wade LeBlanc,4.0514097,15.709312
Kevin Gausman,3.6580024,15.316702
Cole Hamels,3.567405,16.139538
Freddy Peralta,3.3577614,18.658434
Kyle Hendricks,3.5572233,15.525073
John Gant,3.9045978,16.596546
Julio Teheran,3.7109716,17.666224
Vince Velasquez,3.3298588,16.907495
Andrew Heaney,3.6395168,15.833406
Anthony DeSclafani,4.1909013,16.00311
Rick Porcello,4.270995,15.834509
Jordan Zimmermann,4.0919847,15.537805
Caleb Smith,3.9621267,17.66069
Ivan Nova,4.199795,15.095412
Stephen Strasburg,3.4610047,15.808504
Trevor Richards,4.3060565,17.56248
Felix Pena,3.2774775,17.062859
Blaine Hardy,4.331253,15.652402
