,0,1
0,Jacob deGrom,6.653963
1,Chris Sale,6.741287
2,Blake Snell,6.4056253
3,Max Scherzer,6.6051064
4,Wade Miley,6.076232
5,Trevor Bauer,6.439225
6,Aaron Nola,6.347167
7,Clay Buchholz,6.1343164
8,Dereck Rodriguez,6.127692
9,Clayton Kershaw,6.4064426
10,Walker Buehler,6.3135347
11,Justin Verlander,6.62869
12,Carlos Rodon,5.898637
13,Mike Foltynewicz,6.144144
14,Gerrit Cole,6.40176
15,Corey Kluber,6.3917303
16,Miles Mikolas,6.435691
17,Ross Stripling,6.3939667
18,Kyle Freeland,6.0397043
19,Jack Flaherty,6.422473
20,Edwin Jackson,5.9224606
21,Madison Bumgarner,5.9324293
22,Charlie Morton,6.4012356
23,Zack Greinke,6.3637676
24,Mike Montgomery,6.1853876
25,Shohei Ohtani,6.524498
26,Trevor Cahill,6.4197245
27,Patrick Corbin,6.720462
28,Michael Wacha,5.907522
29,Mike Fiers,6.1399307
30,Johnny Cueto,6.081932
31,Anibal Sanchez,6.039221
32,Jake Arrieta,6.100527
33,Mike Clevinger,6.1911316
34,Luis Severino,6.3276014
35,Joe Musgrove,6.3651543
36,CC Sabathia,6.1856604
37,Noah Syndergaard,6.632471
38,Carlos Martinez,6.0824203
39,Jaime Barria,6.1955357
40,Eduardo Rodriguez,6.1375923
41,Trevor Williams,5.959797
42,Brett Anderson,6.2437925
43,Jeremy Hellickson,6.1489964
44,Carlos Carrasco,6.5012817
45,Jameson Taillon,6.4268656
46,Jhoulys Chacin,6.043705
47,Dallas Keuchel,6.253866
48,Alex Wood,6.1279755
49,Zack Wheeler,6.2603865
50,Kyle Gibson,6.1637287
51,Brian Johnson,5.9457083
52,Jon Lester,5.9126196
53,Garrett Richards,6.240671
54,James Paxton,6.511673
55,Jose Berrios,6.269065
56,Brad Keller,6.09626
57,David Price,6.017928
58,Sean Manaea,6.218364
59,Junior Guerra,6.2434893
60,Sean Newcomb,5.971982
61,Frankie Montas,6.070631
62,Rich Hill,6.02487
63,Tyler Skaggs,6.324545
64,Joey Lucchesi,6.13466
65,Nathan Eovaldi,6.2571487
66,Derek Holland,6.0105724
67,J.A. Happ,6.1891336
68,Kenta Maeda,6.253401
69,Mike Leake,6.197172
70,Masahiro Tanaka,6.360713
71,Chase Anderson,5.8687057
72,Lance McCullers Jr.,6.380311
73,Zach Eflin,6.141782
74,Tanner Roark,6.009124
75,Wade LeBlanc,6.121846
76,Kevin Gausman,6.3241568
77,Cole Hamels,6.2667046
78,Freddy Peralta,6.0747137
79,Kyle Hendricks,6.340786
80,John Gant,6.0795746
81,Julio Teheran,6.0352707
82,Vince Velasquez,6.2743664
83,Andrew Heaney,6.2726955
84,Anthony DeSclafani,6.055236
85,Rick Porcello,6.0835
86,Jordan Zimmermann,6.1374435
87,Caleb Smith,5.935298
88,Ivan Nova,6.2129507
89,Stephen Strasburg,6.3470373
90,Trevor Richards,5.815304
91,Felix Pena,6.277648
92,Blaine Hardy,6.114373
93,Matt Boyd,5.964696
94,Ryan Borucki,5.9974165
95,Marco Gonzales,6.21801
96,James Shields,5.9721975
97,Shane Bieber,6.483427
98,Jose Quintana,5.828738
99,Tyson Ross,6.1111374
100,Mike Minor,6.118576
101,Chris Archer,6.328451
102,Pablo Lopez,6.424136
103,German Marquez,6.288602
104,Tyler Anderson,6.0733843
105,Daniel Mengden,6.155361
106,Zack Godley,6.23477
107,Doug Fister,6.081147
108,Jose Urena,6.1183043
109,Michael Fulmer,6.2140064
110,Gio Gonzalez,5.9051476
111,Aaron Sanchez,5.9518785
112,Matt Koch,6.0967016
113,Adam Plutko,6.0186443
114,Jake Odorizzi,5.887137
115,Steven Matz,6.0094824
116,Chad Kuhl,5.9432592
117,Brent Suter,6.265603
118,Dan Straily,5.821369
119,Matt Harvey,6.1480856
120,Luke Weaver,5.9833546
121,Jon Gray,6.561059
122,Andrew Suarez,6.079876
123,Fernando Romero,6.192998
124,Jakob Junis,6.167259
125,Nick Pivetta,6.4941406
126,Reynaldo Lopez,5.833823
127,Nick Tropeano,5.9105873
128,Jordan Lyles,6.136095
129,Andrew Cashner,5.879567
130,Luis Castillo,6.428295
131,Marco Estrada,5.9137554
132,Danny Duffy,5.8543262
133,Robbie Ray,6.0385075
134,Francisco Liriano,5.936308
135,Brandon McCarthy,6.082591
136,Yu Darvish,6.1146574
137,Tyler Mahle,6.017846
138,Lance Lynn,6.073531
139,Nick Kingham,6.2120657
140,Sam Gaviglio,6.088993
141,Alex Cobb,6.163659
142,Yovani Gallardo,5.8419437
143,Clayton Richard,6.1473103
144,Ian Kennedy,5.8537793
145,Ty Blach,6.0241957
146,Tyler Chatwood,5.8052063
147,Chris Stratton,5.968107
148,Wei-Yin Chen,5.8910513
149,Andrew Triggs,6.0363445
150,Zach Davies,5.9818935
151,Marcus Stroman,6.242545
152,Jake Faria,5.826828
153,Eric Lauer,5.918911
154,Dylan Bundy,6.2999535
155,Corey Oswalt,6.111682
156,Chad Bettis,5.92994
157,David Hess,5.880576
158,Sonny Gray,6.1212463
159,Sal Romano,6.024911
160,Bartolo Colon,6.166238
161,Felix Hernandez,5.9668484
162,Dylan Covey,5.9356365
163,Lucas Giolito,5.818083
164,Jason Hammel,6.052369
165,Jaime Garcia,5.8244295
166,Domingo German,6.473773
167,Homer Bailey,6.054532
168,Jeff Samardzija,5.8254166
169,Drew Pomeranz,5.814016
170,Eric Skoglund,6.0487223
171,Martin Perez,6.0142183
172,Jason Vargas,6.1126137
173,Matt Moore,5.9627504
